ID,Temperature_Adjustment,Control_Type
2699,0,2
2100,0,0
2101,0.6,1
2102,0.6,1
2103,0,1
2104,0,1
2105,0,2
2106,0,2
2107,0,2
2108,0,2
2109,0,2
2110,0,3
2111,0,2
2112,0,3
2201,0.3,1
2202,0.3,1
2203,0,1
2204,0,1
2205,0,2
2206,0,2
2207,0,3
2208,0,3
2301,0.3,1
2302,0.3,1
2303,0,1
2304,0,1
2305,0,2
2306,0,3
2307,0,2
2308,0,2
2309,0,2
2310,0,3
2311,0,2
2312,0,3
2401,0.7,3
2402,0.4,3
2403,0.4,3
2404,0,3
2501,0.3,1
2502,0.3,1
2503,0,1
2504,0,1
2505,0,2
2506,0,3
2601,0.3,2
2602,0,3
2603,0,3
2604,0,3
2605,0,3
2701,0.3,1
2702,0.3,1
2703,0,1
2704,0,1
2705,0,2
2706,0,3
0,0,2
